feature,importance
pct_higher_edu,0.09676112046123216
median_house_value,0.08378221475186283
pct_white,0.08304590554700285
pop_density,0.08249115843792384
pct_vacant,0.07651282809689135
pct_owner_occupied,0.0746662653929935
distance_to_downtown,0.07374144018093945
pct_renter_occupied,0.0710169498373047
pct_black,0.06883195884989891
total_pop,0.06698227772774307
pct_in_labor_force,0.0642201396624204
area_sqkm,0.05419426738547892
compactness,0.053188642691850745
median_income,0.05056483097645725
