tract_id,median_income,pct_higher_edu,median_house_value,pct_in_labor_force,pct_owner_occupied,pct_renter_occupied,pct_vacant,pct_white,pct_black,pop_density,total_pop,distance_to_downtown,area_sqkm,compactness
Census Tract 1201,0.03602750226723826,-0.18670879596294138,-0.2404830711106146,0.023292295990684535,0.5021336328135312,-0.5021336328135312,0.049986470168655185,0.833991250484394,-0.5593750486823795,-0.3945120951031016,1.044606919445207,-0.49876772435525984,-0.11724531619020462,0.28199501326293624
Census Tract 1202,-0.6737626917287016,-0.9525985504787631,-0.33428120687787183,-0.6203872592024606,-0.9205871100705612,0.9205871100705614,0.8577453853785669,0.12377289334704991,-0.13499364372508962,-0.3807561373526085,1.662988149570496,-0.17400244064666107,-0.09880851931709311,0.39207407959273544
Census Tract 1251,0.3028711841478877,-0.4206577117964017,-0.017586425900250568,0.10207542815998012,1.1851692439043782,-1.1851692439043782,-1.053353675955609,0.7847299326996042,-0.6460903696874192,-0.2681565795729145,0.20820666587830983,-0.5226667790591565,-0.1699601569173524,0.5583942362142402
Census Tract 1252,-0.25863158480737647,-0.4680966400634398,0.30112551928741926,1.1008042557721944,-0.4952742082853855,0.4952742082853855,-0.22632888155734987,0.15223093156628878,0.1691776463571109,-0.36977610477415945,1.093496033792719,-0.43823529715274184,-0.12201960959932208,-1.0074202051230805
Census Tract 1253,-0.542717133748656,-0.731817216702119,-0.07406702378160977,0.4957516020522751,-0.5791369677495866,0.5791369677495866,0.1692050387229126,0.11868107010495055,0.03447187296958309,0.04558963756761558,0.8008220114150449,-0.2295834214988092,-0.187861256739137,0.40321034153394897
Census Tract 1254,-0.768666643754734,-0.6293831926366488,-0.3373069531929447,0.0882176797016975,-0.4221226431201627,0.42212264312016295,0.0822786966864021,0.02795295249178988,0.18039465108573904,-0.13216569919488347,-0.9743813703655653,-0.27031282305147164,-0.214699968277788,0.48693942909337595
Census Tract 1301.01,-0.21810582889563898,-0.5000464320660992,0.07016021723686106,0.8765481366710465,0.12141857326834792,-0.12141857326834792,-0.558683765461939,0.5529246732563938,-0.598928988494302,-0.5985988106610639,0.3112702042325246,-0.13961627723726283,-0.06957600993046137,-0.423138816057709
Census Tract 1301.02,0.3519810319936568,-0.4116055116919897,-0.041792396420833086,-0.20272828745433447,-0.007185883827846634,0.0071858838278463615,0.233446569842902,0.7277820618801428,-0.7102493078569239,-0.6842759514679911,-0.7867528774643024,-0.28665432730449275,-0.08964756209548182,-0.4304631291629873
Census Tract 1402,-1.8753145129154338,-1.3180923683843233,0.3465117140135115,-4.060332579038995,-2.335238360223972,2.335238360223972,-0.3732434184601844,-1.5289807463765768,0.46874200958946605,-0.6093309678911393,-1.8464574641319984,-1.4221654489492916,-0.19700493530719368,0.2570754540587044
Census Tract 1403,-1.0299840861928737,-1.0109059595495669,-0.5470920310379931,-0.7755848483690942,-2.0123301276358525,2.0123301276358525,1.8214965778091956,-1.5864674934304153,1.2938018922177956,1.1352147777118151,-1.2353435347880963,-1.4885407858941608,-0.24596091978010753,-0.5810036582321335
Census Tract 1404,-1.251512604644944,-1.286326613838828,-0.8133577067644009,-0.8960884919813893,-1.3155596901494928,1.3155596901494924,0.3399666359469167,-1.5935917944549247,0.9486937603112501,0.44302492957600553,-0.7775035855607191,-1.329856189717847,-0.23163647400684806,0.250819767469673
Census Tract 1405,-1.0296525118263233,-1.3541600171118198,-1.1290439056369979,-0.907069733356813,-1.1452338932853072,1.1452338932853074,1.2199227162144972,-2.079907409569523,2.012219759725756,0.9259761929528609,-0.6308362425181826,-1.399056768145366,-0.23789760207220406,0.5910445376033456
Census Tract 1406,-1.2955383122036044,-1.3128227761147375,-1.0191084561893522,-1.3811681399270908,-1.4327532963442975,1.4327532963442973,2.474302364337225,-2.222755431474858,2.2347598859168247,3.0492832932062126,0.41565507000153706,-1.4656238428541166,-0.2453976319716134,0.12896188964345578
Census Tract 1407,-1.4294206730974715,0.2838436592325092,0.09940909828256493,0.006429269188910726,-2.1494049601221628,2.149404960122163,-0.5064789375785134,-1.6089647197442631,2.0061225054807696,3.7573063651356837,0.04568339385820184,-1.4939999945192142,-0.24934628246136317,0.17242024975651474
Census Tract 1408,-1.0653151770286522,-0.9186263485143297,-0.821426363604595,-0.3829218326478704,-1.686033545359872,1.6860335453598718,1.4408062382911184,-2.487928060209716,3.4422753687219063,0.5121374117798427,-0.010473021270697255,-1.415679615005352,-0.2227506615115611,-0.012787644436429862
Census Tract 1409,-0.8924912488632336,-0.33539468743656636,0.3132285045477105,0.03915800734856646,-1.7493304974943955,1.7493304974943953,0.5869825928072294,-2.303196642490071,3.074374240893739,1.9589592868222399,0.3284474606248938,-1.383089206279947,-0.23991518592761032,0.6459585975214086
Census Tract 1410,0.10801598140499735,2.0927891261328497,0.7378415707629289,2.2353437245015533,-0.31356640483279086,0.31356640483279086,-0.056611827420739294,-0.0816964952708727,0.10980628702693299,0.24821006732010376,-0.35467881282547875,-1.2848850287789966,-0.219691516480679,1.9924846165830763
Census Tract 1411,0.9297309449098994,1.4855869351605142,-0.003466276429910766,0.8446570755966933,0.6708002117753199,-0.6708002117753198,-0.06436751193950295,-0.500103706002537,1.3344083640027422,-0.5142321709805886,-1.0926401739899527,-1.1286125047901532,-0.1762767460984367,1.7571747563634887
Census Tract 1412,-0.8079029437965526,-0.6068258658490756,-0.6923278541614882,-0.3779698806434333,-0.6756666712248359,0.6756666712248363,0.6240688811052566,-2.0629750484810394,2.705054870120686,0.6540558575407813,0.5623224130440735,-1.1259749239494117,-0.21922387101338692,0.5295016916495562
