tract_id,SES_2010,SES_2020,SES_ASCENT,SES_PR_2010,SES_PR_2020,SES_PR_ASCENT
Census Tract 1201,-0.34325308747929156,-0.21825241036827128,0.12500067711102028,52.27272727272727,47.72727272727273,39.77272727272727
Census Tract 1202,-1.1804569467798638,-1.0494670889640376,0.13098985781582617,27.84090909090909,30.681818181818183,40.909090909090914
Census Tract 1251,-0.2165572965713473,0.20316246451641903,0.4197197610877663,55.11363636363637,57.95454545454546,67.04545454545455
Census Tract 1252,-0.3516819513564889,-1.1648644737713139,-0.813182522414825,51.70454545454546,27.84090909090909,1.7045454545454544
Census Tract 1253,-0.8482609653557759,-0.8713642637291086,-0.023103298373332692,36.93181818181818,35.79545454545455,27.84090909090909
Census Tract 1254,-1.0497964267122457,-1.24909410733117,-0.1992976806189244,32.38636363636363,22.727272727272727,14.772727272727273
Census Tract 1301.01,-0.47583429344860695,-0.5049605571096677,-0.029126263661060747,46.590909090909086,43.18181818181818,27.27272727272727
Census Tract 1301.02,-0.19999014981648952,-0.06415267541573508,0.13583747440075444,56.25,53.40909090909091,42.04545454545455
Census Tract 1402,-1.617501398277286,-1.035334673682283,0.5821667245950028,16.477272727272727,32.38636363636363,77.8409090909091
Census Tract 1403,-1.5097619285152735,-2.121169905085259,-0.6114079765699854,19.318181818181817,3.4090909090909087,2.272727272727273
Census Tract 1404,-1.9214618040623022,-0.5528784739434034,1.3685833301188988,9.659090909090908,42.04545454545455,98.29545454545455
Census Tract 1405,-2.020538436787808,-1.8330465205726207,0.18749191621518713,7.386363636363637,8.522727272727272,48.86363636363637
Census Tract 1406,-2.0714409823603663,-1.8867835993673792,0.18465738299298717,6.8181818181818175,6.8181818181818175,47.72727272727273
Census Tract 1407,-0.6344906469243796,-1.7368951175029625,-1.102404470578583,43.75,10.227272727272728,0.5681818181818182
Census Tract 1408,-1.6267594803656853,-2.0654706008693724,-0.4387111205036871,15.909090909090908,4.545454545454546,3.4090909090909087
Census Tract 1409,-0.5912256772942573,-0.8128537445059036,-0.2216280672116463,44.88636363636363,36.36363636363637,13.636363636363635
Census Tract 1410,1.5015529797298932,2.299235859268777,0.7976828795388837,81.25,88.63636363636364,90.3409090909091
Census Tract 1411,1.1710055127329078,1.9004982648682966,0.7294927521353889,76.70454545454545,81.81818181818183,88.63636363636364
Census Tract 1412,-1.2519508976726008,-1.216042000066719,0.035908897605881895,25.568181818181817,25.568181818181817,33.52272727272727
Census Tract 1414,-0.5447969928281275,-0.7140858924744128,-0.16928889964628524,46.02272727272727,38.06818181818182,17.045454545454543
Census Tract 1415,-1.9846722312778124,-1.738978297737542,0.24569393354027036,8.522727272727272,9.659090909090908,52.27272727272727
Census Tract 1416,-1.890689323248209,-1.2156619328795166,0.6750273903686923,10.227272727272728,26.136363636363637,84.0909090909091
Census Tract 1418,1.5934652854029567,3.785646738753849,2.1921814533508925,84.6590909090909,98.29545454545455,100.0
Census Tract 1419,2.657163732066927,3.5755423093474104,0.9183785772804836,96.5909090909091,96.5909090909091,94.31818181818183
Census Tract 1420,2.3854721029160744,2.1975315396030677,-0.18794056331300668,93.75,88.06818181818183,15.909090909090908
Census Tract 1421,-0.7426048222706411,0.022556371051504976,0.765161193322146,39.77272727272727,55.68181818181818,89.77272727272727
Census Tract 1422,1.1701779281181774,2.0091437324131305,0.838965804294953,76.13636363636364,83.52272727272727,92.04545454545455
Census Tract 1423,-1.8211513910101267,-1.6359317396659678,0.18521965134415885,13.636363636363635,15.340909090909092,48.29545454545455
Census Tract 1424,-1.9995844163991365,-1.8425885882995712,0.15699582809956536,7.954545454545454,7.954545454545454,44.31818181818182
Census Tract 1425,-1.6381311694339302,-1.203245225406217,0.4348859440277133,15.340909090909092,26.704545454545453,69.88636363636364
Census Tract 1426.01,-1.4514087018211184,-1.0664870691460857,0.38492163267503265,21.59090909090909,30.113636363636363,65.9090909090909
Census Tract 1426.04,-1.2233677984069173,-0.6207758946771499,0.6025919037297675,26.704545454545453,40.909090909090914,80.68181818181817
Census Tract 1427,-1.1003682482671033,-1.3074831320337952,-0.20711488376669185,30.113636363636363,21.59090909090909,14.204545454545455
Census Tract 1428,0.13548862009367246,0.39137324950531677,0.2558846294116443,63.63636363636363,61.93181818181818,52.84090909090909
Census Tract 1501,0.671574505094321,2.170835816371739,1.4992613112774178,72.1590909090909,87.5,99.43181818181817
Census Tract 1502,0.42485866180370674,0.33950091932797255,-0.08535774247573419,69.88636363636364,60.79545454545454,22.727272727272727
Census Tract 1503,-0.1311601693659459,0.7482472087608089,0.8794073781267547,57.95454545454546,67.04545454545455,93.18181818181817
Census Tract 1504,0.35720217096379914,0.3682894885961098,0.01108731763231069,68.18181818181817,61.36363636363637,30.681818181818183
Census Tract 1505,0.38074879651290133,1.4165749296579968,1.0358261331450955,68.75,74.43181818181817,96.02272727272727
Census Tract 1506,1.2722193465561564,1.7011049930977025,0.42888564654154604,78.97727272727273,80.11363636363636,68.75
Census Tract 1507,1.5119893011617427,2.161132555019393,0.6491432538576503,83.52272727272727,85.79545454545455,82.38636363636364
Census Tract 1508,0.6519777290523443,0.9619557562166435,0.30997802716429923,71.5909090909091,71.02272727272727,58.52272727272727
Census Tract 1509,1.608831084395428,2.16602664738341,0.5571955629879819,85.22727272727273,86.93181818181817,75.56818181818183
Census Tract 1510,1.2174704599864363,1.393311312462041,0.17584085247560477,77.8409090909091,73.86363636363636,46.02272727272727
Census Tract 1511,1.1540626126280207,1.5007859310087344,0.3467233183807137,75.56818181818183,77.8409090909091,61.93181818181818
